name,weightInGms,discountedSellInr,price_per_gram
"Chef's Basket Durum Wheat Penne Pasta",500,80.00,0.16
"Chilli Green ",100,16.00,0.16
"Genteel Liquid Detegrent",2000,320.00,0.16
"Maggi 2-Minute Instant Noodles - Masala",280,44.00,0.16
"Nimyle Lemongrass Floor Cleaner",975,156.00,0.16
"Oxi Green Floor Cleaner - Citrus ",1000,161.00,0.16
"Oxi Green Floor Cleaner - Floral",1000,161.00,0.16
"Parle Rusk Elaichi",300,47.00,0.16
"Popular Essentials Green Moong Chilka/Chilka (Un-Polished)",500,79.00,0.16
"Popular Essentials Moth Whole",500,81.00,0.16
"Popular Essentials Red Rajma",500,81.00,0.16
"Popular Essentials Sattu Atta",500,79.00,0.16
"Popular Essentials Urad Gola White(Un-Polished)",500,81.00,0.16
"Satyam Pulses Masur Dal",500,81.00,0.16
"Sunfeast YiPPee! Magic Masala Noodles",405,63.00,0.16
"Surf Excel Matic Top Load",4000,649.00,0.16
"Tata Sampann High Protein Kali Urad",500,78.00,0.16
"Tata Sampann Moong Chilka ",500,82.00,0.16
"The Bake Shop Multi Grain Bread",400,65.00,0.16
"Veeba Truly Tomato Ketchup",500,79.00,0.16
"Amul Delicious Fat Spread - Cholesterol Free",100,17.00,0.17
"Amul Delicious Fat Spread - Cholesterol Free",500,86.00,0.17
Basil,100,17.00,0.17
"Britannia Fruit Bun",100,17.00,0.17
"Britannia Good Day Cashew Cookies",1000,172.00,0.17
"Britannia Nice Time Biscuit",150,25.00,0.17
"Coriander Leaves",100,17.00,0.17
"Daawat Super Basmati Rice",1000,169.00,0.17
"Dlicia Whip Topping Bottle",1000,171.00,0.17
"Domex Disinfectant Floor Cleaner",1000,170.00,0.17
"Godrej No.1 Bathing Soap – Lime & Aloe Vera",500,84.00,0.17
"Harpic Lemon Bathroom Cleaner ",500,86.00,0.17
"Lettuce Red",100,17.00,0.17
"Lotte Choco Pie ",696,120.00,0.17
"Nestle A+ Nourish Dahi",200,34.00,0.17
"Nestle A+ Nourish Dahi",400,68.00,0.17
"Praakritik Organic Jaggery",900,150.00,0.17
"Praakritik Organic Raw Sugar",500,84.00,0.17
"Quaker Oats Pouch",1500,248.00,0.17
"Smith & Jones Masala Noodles",360,61.00,0.17
"Suguna Nourish Egg ",348,60.00,0.17
"Sunfeast Mom's Magic Cashew & Almond Biscuits",600,102.00,0.17
"Sunfeast Yippee! Mood Masala Noodles",260,43.00,0.17
"Sunfeast YiPPee! Noodles - Magic Masala",540,91.00,0.17
"Surf Excel Easy Wash Detergent Liquid",1000,169.00,0.17
"Veeba Hot Sweet Tomato Chilli Sauce",500,83.00,0.17
"24 Mantra Organic Besan",500,88.00,0.18
"24 Mantra Organic Chana Dal",500,89.00,0.18
"24 Mantra Organic Masoor Dal - Split",500,88.00,0.18
"Ariel Complete Detergent Washing Powder 1 kg + 500 g Free",1500,263.00,0.18
"Britannia Good Day Cashew Cookies Packet",600,105.60,0.18
"Ching's Secret Veg Hakka Noodles",600,107.00,0.18
"Colin Glass and Surface Cleaner Liquid Spray Regular",500,89.00,0.18
"Dabur Hommade - Imli Sauce Saunth",100,18.00,0.18
"Fortune Biriyani Special Basmati Rice",1000,175.00,0.18
"Fortune Soyabean Oil",1000,181.00,0.18
"Godrej Ezee Liquid Detergent",1000,175.00,0.18
"Harpic Disinfectant Bathroom Cleaner Liquid Lemon",1000,179.00,0.18
"Harpic Disinfectant Toilet Cleaner Liquid, Original - 1 L",1000,178.00,0.18
"Harpic Germ & Stain Blaster Disinfectant Toilet Cleaner Floral",750,137.00,0.18
"iD Malabar Parota ",400,72.00,0.18
"iD Wheat Lachha Paratha",400,70.00,0.18
"Om Bhakti - Pancha Deepa Oil ",1000,179.00,0.18
"Oxi Green Phenyl Concentrate",1000,180.00,0.18
"Parle Monaco Classic Salty Biscuits",400,70.00,0.18
"Popular Essentials Kashmiri Red Rajma",500,89.00,0.18
"Popular Essentials Pink Rajma",500,90.00,0.18
"Popular Essentials Plain Puffed Rice (Murmura/Muri)",100,18.00,0.18
"Popular Essentials Samba Broken Wheat",500,89.00,0.18
"Quaker Oats",1000,184.00,0.18
"Suguna Active - DHA",348,62.00,0.18
"Suguna Heart- Omega3",348,62.00,0.18
"Suguna Sharp Egg ",348,62.00,0.18
"Suguna Vitamin D Egg",348,62.00,0.18
"Tata Sampann High Protien Toor Dal - Split",500,89.00,0.18
"Tata Sampann kabuli chana",1000,183.00,0.18
"Tata Sampann Moong Dal Split",1000,178.00,0.18
"Tata Sampann Unpolished Moong Dal ",500,88.00,0.18
"Tata Sampann Unpolished Toor Dal/Arhar Dal",1000,177.00,0.18
"Tata Sampann Urad Dal Split",500,90.00,0.18
"Whisper Ultra Clean XL Plus Sanitary Pad",870,155.00,0.18
"24 Mantra Organic Roasted Bengal Gram Dal",500,97.00,0.19
"24 Mantra Organic Sattu Atta",500,95.00,0.19
"Amul Fresh Cream",1000,191.00,0.19
"Britannia Good Day Cashew Cookies Packet",200,38.00,0.19
"Britannia Toastea Premium Bake Rusk",182,35.00,0.19
"Ching's Secret Just Soak - Veg Hakka Noodles",600,115.00,0.19
"Dhara Life Refined Ricebran Oil (Pouch)",1000,190.00,0.19
"Fortune Sunlite Refined Sunflower (Jar)",5000,925.00,0.19
Guava,232,45.00,0.19
"Lettuce Green",100,19.00,0.19
"Lizol Disinfectant Surface & Floor Cleaner Liquid Citrus",975,188.00,0.19
"Lizol Disinfectant Surface & Floor Cleaner Liquid Floral",500,97.00,0.19
