name,"Number of units Present multiple times"
"Dr Oetker Cucumber & Carrot Sandwich Spread Veg",3
"Del Monte Pitted Green Olives",3
"Britannia Good Day Cashew Cookies",3
"Britannia Toastea Premium Bake Rusk",3
"Lotte Choco Pie ",3
"Parle Hide & Seek Choco Rolls",3
"Dettol Original Germ Protection Alcohol Based Hand Sanitizer",3
"Veet Sensitive Skin Hair Removal Cream",3
"Dettol Hand Sanitizer",3
"Stayfree Secure Dry Cover Regular Sanitary Pad With Wings",3
"Veet Hair Removal Cream Dry Skin",3
"Whisper Ultra Clean Wings XL+  Pouch",3
"Stayfree Dry Max All Night XL Dry Cover Sanitary Pads",3
"Veet Full Body Waxing Kit For Dry Skin",3
"Whisper Ultra Soft Air Fresh Sanitary Pads (XL) with Wings",3
"Whisper Choice Ultra XL Sanitary Pad",3
"Dettol Clinical Strength Hand Sanitizer Liquid",3
"Stayfree Dry-Max All Night Ultra-Dry Sanitary Pad",3
"Whisper Choice Regular Wing Sanitary Pad",3
"Whisper Daily Liners Clean and Fresh",3
"Stayfree Advanced XL Ultra Comfort Sanitary napkins with Wings",3
"Veet Hair Removal Cream (Normal Skin)",3
"Stayfree Secure XL Size Sanitary Napkins",3
"Bombay Shaving Company Sensitive Cartridges",3
"Stayfree Secure Cottony Soft Cover Sanitary Pad (Regular) with Wings",3
"Whisper Bindazzz Nights XL + Sanitary Pad",3
"Whisper Choice Sanitary Pad ",3
"Gillette Venus Close & Clean Razor ",3
"Stayfree Secure Dry Cover Extra Large Sanitary Pad",3
"Whisper Bindazzz Night Sanitary Pads XL Plus",3
"Ariel Matic Liquid Detergent Front Load",3
Onion,2
Potato,2
Beetroot,2
Carrot,2
"Tata Salt",2
"Fortune Sunlite Refined Sunflower (Pouch)",2
"Aashirvaad Superior MP Atta",2
"Tata Salt Lite",2
"Saffola Gold Oil (Pouch)",2
"Fortune Sunlite Refined Sunflower (Jar)",2
"Fortune Rice Bran (Pouch)",2
"Saffola Active Oil",2
"Aashirvaad Atta",2
"Amul Ghee (Tin)",2
"Popular Essentials Pure Jaggery",2
"Aashirvaad Multigrain Atta",2
"Popular Essentials Sunflower Seeds",2
"Tata Sampann kabuli chana",2
"Dhara Groundnut Oil (Pouch)",2
"Dhara Health Refined Sun Flower Oil Jar",2
"24 Mantra Organic Jaggery Powder",2
"Tata Sampann High Protien Kabuli Chana",2
"Dhara Kachi Ghani Mustard Oil Jar",2
"Gowardhan Ghee/Tuppa Jar",2
"Tata Sampann Unpolished Moong Dal ",2
"Aashirvaad Select Atta",2
"Popular Essentials Misri Dana (Diamond Sugar) ",2
"Gowardhan Ghee Jar",2
