name,weightInGms,weight_category
"Popular Essentials Pista Salted (With Shell)",250,Low
"The Bake Shop Bread Crumbs",400,Low
"Popular Essentials Horse Gram",500,Low
"Hershey's Chocolate Syrup",200,Low
"Godrej Yummiez Chilli Chicken Sausages ",250,Low
"Everest Kasuri Methi",25,Low
"Satyam Makhana",100,Low
"Everest Tandoori Chicken Masala",50,Low
"Weikfield Falooda Mix - Kesar Pista",200,Low
"Weikfield Cocoa Powder",50,Low
"Pantai Coconut Cream",400,Low
"Popular Essentials Coriander Seeds",50,Low
"Ching's Singapore Curry Instant Noodles",240,Low
"Eastern Fish Masala",100,Low
"Pillsbury Atta/Godihittu - Chakki Fresh",5000,Bulk
"Oleev Smart Oil Fortified with VIT A, D, E & K (Pouch)",1000,Medium
"Everest Dry Ginger Powder",100,Low
"Pillsbury Cooker Cake Mix - Choco",159,Low
"Hersheys Chocolate Almond Syrup",450,Low
"Satyam Nighties Spices  Chilli Pandi",100,Low
"Popular Essentials Popular Essential Pista Salted (With Shell)",100,Low
"Godrej Yummiez Chicken Punjabi Tikka ",360,Low
"Popular Essentials Rozana Sona Masuri Raw Rice",5000,Bulk
"24 Mantra Mustard Oil (Cold Pressed) ",1000,Medium
"24 Mantra Organic Black Pepper",100,Low
"Popular Essentials Green Moong Whole",500,Low
"24 Mantra Organic Masoor Dal - Split",500,Low
"Praakritik Organic Natural Rock Salt",500,Low
"24 Mantra Sunflower Oil (Cold Pressed) Pet Bottle",1000,Medium
"Ching's Secret Instant Noodles, Hot Garlic",240,Low
"Saffola Everyday Peppy Tomato Masala Oats",500,Low
"Dabur 100% Pure Honey - Worlds No.1",1000,Medium
"Popular Essentials Star Anise",25,Low
"Ching's Secret Chicken 65 Masala - Chicken",20,Low
"Cadbury Cocoa Powder",150,Low
"Praakritik Natural Desi Gir Cow A2 Ghee",540,Low
"Praakritik Organic Poha",500,Low
"Praakritik Organic Natural Wild Forest Honey",200,Low
"Popular Essentials Dry Dates (Kharak)",250,Low
"Popular Essentials Kashmiri Red Rajma",500,Low
"Dabur Hommade - Garlic Paste",200,Low
"Dabur 100% Pure Honey",400,Low
"Ching's Schezwan Fried Rice(Miracle Masala)",60,Low
"Everest Tandoori Chicken Masala",100,Low
"Popular Essentials Red Poha",500,Low
"Everest Kitchen King Masala",200,Low
"Pillsbury Oven Cake Mix - Rich Chocolate",285,Low
"Eastern Super Garam Masala",200,Low
"Maggi Magic Cubes Extra Chicken",48,Low
"Satyam Nighties Spices  Chilli Kashmiri",100,Low
"Eastern Cumin Powder",100,Low
"Popular Essentials Urad Gola White(Un-Polished)",500,Low
"24 Mantra Organic Chana Dal",500,Low
"Delight Nuts Cashew Roasted & Salted",200,Low
"Popular Essentials Mace/Javitri",20,Low
"Dlicia Whip Topping Bottle",1000,Medium
"Mother's Recipe Paste Ginger & Garlic",300,Low
"24 Mantra Groundnut Oil (Cold Pressed) Pet Bottle",1000,Medium
"Satyam Pulses Masur Dal",500,Low
"Delight Nuts Pista Roasted & Salted",200,Low
"Top Ramen Noodles, Atta",280,Low
"Hershey's Cocoa Powder",70,Low
"Praakritik Organic Singhara Atta",500,Low
"Gits Veg Biryani Ready to Eat",265,Low
"Delight Nuts Cranberries Sliced ",200,Low
"Borges Durum Wheat Pasta Superior Quality",500,Low
"Ceres Foods Laal Maas Instant Liquid Masala",200,Low
"Popular Essentials Sattu Atta",500,Low
"Popular Essentials Mustard Seeds Rai Yellow",100,Low
"Praakritik Organic Extra Virgin Coconut Oil",100,Low
"Praakritik Organic Garlic Powder",100,Low
"Sugarfree Gold Low Calorie Sweetner ",100,Low
"Aashirvaad Breakfast Instant Mix - Rice Idli",200,Low
"Kitchens Of India Mutter Paneer",285,Low
"Ching's Secret Veg Manchurian Masala",60,Low
"Popular Essentials Jowa Flour",500,Low
"Everest Shahi Biryani Masala",200,Low
"Popular Essentials Black Til",100,Low
"Popular Essentials Pancharatna Dal",500,Low
"Saffola 100% Pure Honey",1000,Medium
"Popular Essentials Tamarind",500,Low
"Gits Rice Dosa Instant Breakfast Mix",200,Low
"Popular Essentials Poppy Seeds (Gasagase)",100,Low
"Hershey's Hot Chocolate Powder",250,Low
"Borges Farfalle Durum Wheat Pasta ",500,Low
"Satyam Chilli  Bedgi",100,Low
"Aashirvaad Instant Mix - Rice Dosa",200,Low
"Hershey's Cocoa - Natural Unsweetened",225,Low
"Weikfield Veg Jelly Crystals - Mango",90,Low
"Praakritik Orrganic Cold Pressed Sesame Oil",100,Low
"Amulya Dairy Whitener ",1000,Medium
"ITC Master Chef Hyderabadi Biryani",80,Low
